video,width,height,question,answer,qid
1,480,360,what is chewing on a nut,animal,0
1,480,360,what is a small animal chewing on,nut,1
1,480,360,what is eating a whole peanut,squirrel,2
1,480,360,what is eating a nut,chipmunk,3
1,480,360,what is eating a peanut,chipmunk,4
1,480,360,what is eating some food,chipmunk,5
1,480,360,what does a ferret eat,leaf,6
1,480,360,what is a chipmunk eating,peanut,7
1,480,360,what is a small squirrel eating,peanut,8
1,480,360,what is a hamster eating,peanut,9
1,480,360,who is eating,ardilla,10
1,480,360,what is eating,chipmunk,11
1,480,360,what is a squirrel doing,eat,12
1,480,360,what is a chipmunk doing,eat,13
1,480,360,what is a squirrell doing,eat,14
1,480,360,what is a small squirrel doing,eat,15
1,480,360,what is a small animal doing,chew,16
1,480,360,what is an ardilla doing,eat,17
1,480,360,what is the squirrel doing,eat,18
1,480,360,what is a hamster doing,eat,19
2,320,240,who brushes off the roots of a sunflower,man,20
2,320,240,who is knocking seeds out of a sunflower,man,21
2,320,240,who is brushing or patting the top of a sunflower with his hand,man,22
2,320,240,who is brushing dirt off a sunflower,man,23
2,320,240,who is rubbing the head of a sunflower with his hand,man,24
2,320,240,what a man brushes off the roots of,sunflower,25
2,320,240,what is a man brushing off a sunflower,dirt,26
2,320,240,what is a man brushing dirt off,sunflower,27
2,320,240,what is a man rubbing the head of with his hand,sunflower,28
2,320,240,who is brushing dry sunflowers,man,29
2,320,240,who exhibited a sunflower head,man,30
2,320,240,what is a man rubbing the head of a sunflower with,hand,31
2,320,240,who rubs a sunflower,man,32
2,320,240,who showed a sunflower head,man,33
2,320,240,who is holding huge sunflowers,man,34
2,320,240,who is holding dead sunflowers,man,35
2,320,240,how many sunflowers is a man holding,two,36
2,320,240,who is tapping a sunflower,man,37
2,320,240,who is holding sunflowers,someone,38
2,320,240,who is showing sunflowers,man,39
2,320,240,who is holding two sunflowers,man,40
2,320,240,what did the man exhibit,head,41
2,320,240,what does a man rub,sunflower,42
2,320,240,what did a man show,head,43
2,320,240,what is a man tapping,sunflower,44
2,320,240,what is a man doing,demonstrate,45
2,320,240,what is a man doing,hold,46
2,320,240,what is a man doing,brush,47
2,320,240,what is a man doing,knock,48
2,320,240,what is a man doing,rub,49
2,320,240,what is a man doing,show,50
2,320,240,what is a man doing,tap,51
2,320,240,what is someone doing,hold,52
2,320,240,what is the man doing,brush,53
3,1280,720,who sliced through a soda bottle with a sword,man,54
3,1280,720,who slices a soda bottle with a sword,man,55
3,1280,720,who sliced a plastic bottle with a sword,man,56
3,1280,720,who used a sword to slice a plastic bottle,man,57
3,1280,720,who slices through a bottle with a sword,person,58
3,1280,720,who uses a sword to cut a two liter plastic bottle in half,man,59
3,1280,720,who slices through a two liter plastic bottle of soda pop with a sword,man,60
3,1280,720,who slices the top of a plastic bottle of water off with a sword,man,61
3,1280,720,who is cutting a bottle of water with a sword,man,62
3,1280,720,who is broken a bottle by a sword,man,63
3,1280,720,who is cutting a bottle with a sword,man,64
3,1280,720,who breaks a bottle with a sword,man,65
3,1280,720,what did the man slice through a soda bottle with,sword,66
3,1280,720,what did a man slice a plastic bottle with,sword,67
3,1280,720,what did the man use to slice a plastic bottle,sword,68
3,1280,720,what does a man use to cut a two liter plastic bottle in half,sword,69
3,1280,720,what does a man slice through a two liter plastic bottle of soda pop with,sword,70
3,1280,720,what does a man use a sword to cut a two liter plastic bottle in,half,71
3,1280,720,what did a man slice with a sword,bottle,72
3,1280,720,what does a man slice the top of a plastic bottle of water off with,sword,73
3,1280,720,what is a man cutting a bottle of with a sword,water,74
3,1280,720,what is a man cutting a bottle of water with,sword,75
3,1280,720,what is a man broken by a sword,bottle,76
3,1280,720,what is a man broken a bottle by,sword,77
3,1280,720,what is a man cutting with a sword,bottle,78
3,1280,720,what is a man cutting a bottle with,sword,79
3,1280,720,who slices a bottle with a sword,someone,80
3,1280,720,what is a man doing,cut,81
4,1280,720,who is stabbing a cardboard cutout with a sword,man,82
4,1280,720,who stuck a sword through a piece of paper,man,83
4,1280,720,who pierced the picture with a sword as he ran by,man,84
4,1280,720,who stabs a photo print with a knife,person,85
4,1280,720,who is stabbing a silhouette with a sword,man,86
4,1280,720,who is stabbing a poster with a sword,someone,87
4,1280,720,who stabbed the picture as he ran by,man,88
4,1280,720,what is a man stabbing a cardboard cutout with,sword,89
4,1280,720,what did the man pierce with a sword as he ran by,picture,90
4,1280,720,what did a man stick through a piece of paper,sword,91
4,1280,720,what did the man pierce the picture with as he ran by,sword,92
4,1280,720,what does a man with a sword stab,target,93
4,1280,720,who is hitting a photo with his sword,man,94
4,1280,720,what does a person stab a photo print with,knife,95
4,1280,720,what is a man stabbing with a sword,cardboard,96
4,1280,720,what is a man stabbing a silhouette with,sword,97
4,1280,720,what does a person stab with a knife,photo,98
4,1280,720,who used a sword stab the target,man,99
4,1280,720,what did the man stab as he ran by,picture,100
4,1280,720,what is someone stabbing a poster with,sword,101
4,1280,720,what is someone stabbing with a sword,poster,102
4,1280,720,what is a man hitting with his sword,photo,103
4,1280,720,what is a man hitting a photo with,sword,104
4,1280,720,who is demonstrating a sword,man,105
4,1280,720,who is stabbing a target,man,106
4,1280,720,what is a man stabbing,target,107
4,1280,720,what is a man demonstrating,sword,108
4,1280,720,what is a man doing,stab,109
4,1280,720,what is a man doing,hit,110
4,1280,720,what is a man doing,demonstrate,111
4,1280,720,what is someone doing,stab,112
5,640,360,who is boiling in a pot of water,ocra,113
5,640,360,who added the pea pods to the boiling water,lady,114
5,640,360,who put the bean pods in the boiling water,lady,115
5,640,360,who is adding cut green beans to boiling water,woman,116
5,640,360,who puts four okra in a pan of boiling water,woman,117
5,640,360,who is adding vegetables to a pot,woman,118
5,640,360,what did the lady add to the boiling water,pea,119
5,640,360,who dumps vegetables into boiling water,woman,120
5,640,360,who is boiling finger in the water,woman,121
5,640,360,what did the lady put in the boiling water,bean,122
5,640,360,what does a woman put in a pan of boiling water,okra,123
