video,width,height,question,answer,qid
49923,477,280,what is the color of the hair,brown,FRAMEQA39922
11037,204,209,what is the color of the shirt,black,FRAMEQA20443
15587,300,300,what is the color of the shirt,blue,FRAMEQA4699
7421,250,300,what is the color of the shirt,black,FRAMEQA257
77709,512,287,where does the boy wake up to find another boy in his room,bed,FRAMEQA14537
16643,320,320,what is the color of the cat,black,FRAMEQA24707
61381,480,270,what dazzles judges with an intriguing outfit,model,FRAMEQA2258
69130,250,140,what is this walking on its front legs,dog,FRAMEQA29059
34998,300,225,what are walking around and fighting the cat,dogs,FRAMEQA18131
68379,400,225,what is trying to walk down some steps,dog,FRAMEQA4131
57313,320,180,how many men is sitting next to each other are playing cards,three,FRAMEQA37530
54488,358,202,what is the guy with a lot of tattoos on his arms playing,guitar,FRAMEQA51817
35828,320,239,what is the color of the masks,white,FRAMEQA26557
44737,288,186,where is the young man playing the violin,jail,FRAMEQA8739
8347,239,272,what does the man in a helmet open then looks sideways,fridge,FRAMEQA28102
38155,500,359,what is the color of the female,white,FRAMEQA15068
62203,320,180,what are shown in the time lapse from day to night,formations,FRAMEQA50718
90683,435,214,what is the woman wearing a black dress and carrying,purse,FRAMEQA2225
56839,320,180,what is the color of the man,black,FRAMEQA47539
71678,350,197,what is being put in a glass jar and an explosion happens,bear,FRAMEQA50242
20400,245,220,what is the color of the suit,black,FRAMEQA26103
15711,300,300,what is the color of the markings,black,FRAMEQA37783
301,196,359,where is the woman vacuuming the walls,bedroom,FRAMEQA20617
3858,249,336,how many boys in the back of a car and one is chewing,two,FRAMEQA10506
6859,245,300,what is the color of the shirt,white,FRAMEQA49335
97103,500,212,how many men handcuffed together raise their hands,two,FRAMEQA10744
24905,300,238,what is the man performing on stage catches,instrument,FRAMEQA47583
51606,245,140,what is the color of the jacket,red,FRAMEQA7046
74067,400,225,what jumps into the water and starts swimming,dog,FRAMEQA18891
37741,302,219,what is the man holding and letting him play with his hand,platypus,FRAMEQA35347
57226,320,180,how many men in only shorts are hitting each other,two,FRAMEQA17998
61131,480,270,what is the color of the car,black,FRAMEQA7233
9855,245,260,what did man sit to cards,dancing,FRAMEQA49644
57014,320,180,how many girls are dancing and jumping in the room,three,FRAMEQA701
8050,300,346,what is the color of the shirt,white,FRAMEQA12212
30764,400,300,what is the girl wearing with high socks,skirt,FRAMEQA50459
101187,460,173,what is being walked by the remote control toy truck,dog,FRAMEQA42954
95563,500,220,what is the color of the woman,black,FRAMEQA31653
78284,331,185,what brushed the fence as it goes in to the curve,car,FRAMEQA7729
44496,268,175,what is the color of the shirt,blue,FRAMEQA26181
58075,320,180,how many boys are talking and gesturing with their hands,two,FRAMEQA38183
96958,505,215,what sways in the wind,bush,FRAMEQA1996
100436,250,100,how many paws is the young kitten stretching,two,FRAMEQA4920
46167,480,300,what is the color of the shirt,blue,FRAMEQA9320
65670,360,202,what is the cat licking,lollipop,FRAMEQA44496
34150,303,227,what tucks the towel up to its chin as if it were a blanket,parrot,FRAMEQA6349
21727,300,259,what is the man wearing makeup leaving,room,FRAMEQA51711
52959,480,272,what is the color of the man,black,FRAMEQA41960
34404,500,375,how many men smile,two,FRAMEQA12080
1779,212,351,what is given the treat to go through a door,dog,FRAMEQA31332
59403,320,180,how many boys are laughing in the radio studio,two,FRAMEQA25798
17424,245,245,what is the color of the hair,red,FRAMEQA1617
11793,245,245,how many singers are singing and screaming loudly,two,FRAMEQA41441
42041,360,240,what is the color of the girl,blue,FRAMEQA44383
10157,381,400,what is trying to drive on the other side of a fence then comes back and turns over,car,FRAMEQA17403
52186,407,232,how many men are being silly and shaking their heads,two,FRAMEQA1274
29524,384,288,how many young males with black hair are laughing and making silly expressions,two,FRAMEQA27514
50481,397,230,what are fighter jets rapidly skimming surrounded by mountains,lake,FRAMEQA25109
98545,500,209,what is the color of the umbrella,blue,FRAMEQA31553
21140,496,436,what is the guy wearing and singing with another guy,suit,FRAMEQA15006
80541,500,277,where is the man with short dark hair sitting,sill,FRAMEQA16647
45835,405,254,how many men are there in a car,two,FRAMEQA4533
77344,287,161,what is landing on the top of a gate and then lightning strikes,bird,FRAMEQA51958
67191,415,233,what is driving fast and missing gas,car,FRAMEQA48003
59460,320,180,what is howling and leaning against the cage and wanting attention,dog,FRAMEQA13341
10701,245,251,how many guys are sitting on the couch together,three,FRAMEQA36505
1236,302,537,what is standing on it s cage,parrot,FRAMEQA13305
27181,245,184,what are in the living room together,kittens,FRAMEQA22200
100027,500,200,what is the color of the man,black,FRAMEQA48714
97188,500,213,what is the color of the jacket,brown,FRAMEQA2157
10753,245,250,where is the baby panda bear sitting,basket,FRAMEQA2910
43685,245,160,what is snuggling up next to the dog,kitten,FRAMEQA27745
31697,400,300,what is being shown in reverse,machine,FRAMEQA5720
15686,200,200,what is the person rubbing a soap dispenser with their hand and comes out,soap,FRAMEQA29278
4143,203,270,what does the hand hold under the water,bomb,FRAMEQA1381
75202,400,225,what is the color of the cat,orange,FRAMEQA8199
75867,250,141,what is the man with tattoos playing,guitar,FRAMEQA7620
47528,327,200,what is wobbling around on his four legs,dog,FRAMEQA175
15504,245,245,where is the woman in white singing,microphone,FRAMEQA23299
60392,417,235,what is someone driving with a black dashboard,car,FRAMEQA26776
22712,243,200,what investigates an object on the floor before being frightened by a hand and jumping into the air,cat,FRAMEQA43710
58072,320,180,what is the man fixing,tie,FRAMEQA13952
57376,320,180,what is the person wearing a clown costume puts down on the ground,toy,FRAMEQA28187
73603,400,224,how many women one brunette one blonde are kissing,two,FRAMEQA45459
50617,500,291,what is the color of the man,black,FRAMEQA27500
81139,360,198,what is the color of the jacket,black,FRAMEQA19688
93478,500,233,what is the color of the jacket,black,FRAMEQA20696
98154,244,102,how many people are walking down the large staircase,six,FRAMEQA48821
53618,245,138,what is eating from its bowl as another cat slowly touches the bowl,cat,FRAMEQA43288
35161,260,195,what is the person riding by a fence,horse,FRAMEQA50299
36506,245,180,what is the color of the hat,blue,FRAMEQA49743
2415,254,384,what is the color of the jacket,red,FRAMEQA34863
79851,198,110,what is there and the tide is rolling in,beach,FRAMEQA50003
39375,300,210,what falls off the tree and bounces on a trampoline then he lands on the grass and is immobile,bear,FRAMEQA24653
13959,245,245,what is the color of the hair,red,FRAMEQA30017
80411,229,126,what is the color of the field,green,FRAMEQA19167
88758,500,250,how many men look silently at each other and then smile as they look away,two,FRAMEQA41072
59759,480,270,what is the color of the girl,black,FRAMEQA23394
93179,500,234,what are two men taking on stage with their arms around each other,bow,FRAMEQA31328
47729,600,367,how many nuns applaud as the man pushes a nurse off of a ledge,two,FRAMEQA13205
40958,480,326,what are the couple of girls eating,candies,FRAMEQA8622
72373,400,225,where do the normal small man and a little person look up at a dragon flying above them,boat,FRAMEQA13351
79824,180,101,how many male wrestlers are competing against one another,two,FRAMEQA11979
93429,370,172,what is milk being poured in a cup with coffee and is formed into an art form,milk,FRAMEQA17579
78182,330,185,what is giving turns into a curve,car,FRAMEQA47939
3964,266,358,what is the color of the shark,blue,FRAMEQA16319
12175,400,400,what chases his way around a kids pool,dog,FRAMEQA43211
59708,320,181,what is jumping up and licking the woman,dog,FRAMEQA11395
48655,500,300,what is the color of the shirt,black,FRAMEQA19842
36294,245,180,what is the color of the sweater,white,FRAMEQA1954
49964,500,294,how many people are sitting on the fence near to a river,two,FRAMEQA3581
25510,245,190,where is the man dancing,bedroom,FRAMEQA15217
67419,400,225,what is the color of the dress,purple,FRAMEQA18752
35729,250,187,what does the basketball player dunk into the net,ball,FRAMEQA24239
87028,350,180,what is spinning around in circles on a wooden floor,pug,FRAMEQA30594
18875,245,235,what is the color of the guy,black,FRAMEQA28726
14652,245,245,what is the color of the cloth,black,FRAMEQA49528
51601,245,140,what spreads white icing onto a cake,spatula,FRAMEQA4731
12392,250,250,what is the young woman with short hair holding,microphone,FRAMEQA51186
604,224,400,what is the color of the jacket,white,FRAMEQA26730
98445,250,105,how many women are walking through the store carrying bags with their arms outstretched,two,FRAMEQA49770
78677,335,186,what is moving on the track,car,FRAMEQA8066
32174,320,240,what is the color of the hair,yellow,FRAMEQA24491
6827,245,300,what is the color of the top,black,FRAMEQA26212
16112,320,320,where is the vinyl record running,machine,FRAMEQA38078
4338,288,385,what is looking in the window and is scared by a cat,crow,FRAMEQA51161
43224,400,264,how many men look at each other and say something and then look forward,two,FRAMEQA27742
69394,500,281,how many person is playing the guitar,one,FRAMEQA27799
69735,500,281,what is the color of the shirt,black,FRAMEQA36760
21539,250,216,what balled up sleeping yawns,kitten,FRAMEQA21670
70403,500,281,what is the color of the car,blue,FRAMEQA52485
72631,400,225,what is rushing to get some fish but falls and swims away,penguin,FRAMEQA26321
71196,500,281,how many young men are performing and one of the claps,four,FRAMEQA14896
89612,332,167,what is bursting on track and throws pieces of bodywork,car,FRAMEQA39202
44699,300,195,what are two white persons playing in a dark room,instruments,FRAMEQA32381
96060,500,218,where are two people singing,studio,FRAMEQA52343
913,180,320,what is the girl holding up and blowing smoke out of her mouth,phone,FRAMEQA26402
45437,404,256,what is the man holding,fish,FRAMEQA35637
95920,500,220,what is the color of the sky,blue,FRAMEQA8355
90250,383,190,how many dogs are sliding down the snowy hill,two,FRAMEQA34923
33320,320,240,what is the woman hugging,cat,FRAMEQA28228
42749,238,158,where is the man with a blue suit sitting,chair,FRAMEQA29915
83845,500,268,how many men in front of microphones are nodding at each other,two,FRAMEQA13071
1706,324,540,what is the color of the hair,brown,FRAMEQA28202
91551,480,235,what is playing with the cat toy and jumps toward it on two hind legs,cat,FRAMEQA5537
60072,480,270,what is the color of the horse,brown,FRAMEQA38675
69818,500,281,what is blowing the lot of bubbles,ocean,FRAMEQA12875
25656,188,146,where is the boy wearing a jacket and sitting,chair,FRAMEQA46010
97903,500,210,what is the color of the hair,white,FRAMEQA28544
5916,250,314,what are tangled and picked up and worn on the guys face while still tangled,buds,FRAMEQA26718
84372,245,130,what is the woman tying around her leg,ribbon,FRAMEQA35388
69068,500,281,what is ahead of the white car,car,FRAMEQA31321
84328,245,130,how many men are laughing while making the hand gesture,two,FRAMEQA14927
22,160,401,how many boy is playing with the hair of another boy sat in front of him,one,FRAMEQA51048
62181,320,180,what is the person sitting outside and holding,beverage,FRAMEQA12418
28155,459,344,what is the color of the man,white,FRAMEQA42649
38640,257,183,what is jumping and going nuts on a sofa,ferret,FRAMEQA15901
81715,540,297,what loses the tire with driving down a highway,truck,FRAMEQA38259
4540,180,240,what is the color of the dress,black,FRAMEQA32124
18095,213,210,what is the man holding his mouth open,blinks,FRAMEQA39715
96066,500,218,how many people look at each other and scream,two,FRAMEQA48981
75442,400,225,how many boys are standing next to each other one is smiling,three,FRAMEQA32636
59689,800,450,what is the color of the flowers,orange,FRAMEQA40312
23715,242,198,what is the color of the shirt,red,FRAMEQA4079
38915,245,173,how many black ducks are exploring the floor,three,FRAMEQA4294
63153,371,209,how many horses are racing right next to each other in a sparse environment,two,FRAMEQA8425
94210,500,230,what is the woman jumping up and,lamp,FRAMEQA24797
62879,371,209,what is the color of the girl,brown,FRAMEQA40419
79580,500,279,what is the color of the female,white,FRAMEQA30343
101218,500,187,what is the color of the man,white,FRAMEQA45968
75883,350,196,what is the singer on stage holding up and beating his chest with his hand,microphone,FRAMEQA23176
